blockid,addrptid,strctid,x,y,huestimate,residential
410079511001025,"41007000000020005S001001A","41007000000020005S",-123.90045166,46.0104942322,1,1
410079511003005,"41007000000020009S001001A","41007000000020009S",-123.932060242,45.9798355103,1,1
410079507002020,"41007020802001001S001001A","41007020802001001S",-123.918624878,46.0175666809,1,1
410079507002040,"41007020853008001S001001A","41007020853008001S",-123.913642883,46.017326355,1,1
410079507002040,"41007020853008002S001001A","41007020853008002S",-123.913642883,46.017326355,1,1
410079507002040,"41007020853008003S001001A","41007020853008003S",-123.913642883,46.017326355,1,1
410079507002040,"41007020853008004S001001A","41007020853008004S",-123.913642883,46.017326355,1,1
410079507002040,"41007020853008005S001001A","41007020853008005S",-123.913642883,46.017326355,1,1
410079507002040,"41007020853008006S001001A","41007020853008006S",-123.913642883,46.017326355,1,1
410079507002040,"41007020853008007S001001A","41007020853008007S",-123.913642883,46.017326355,1,1
410079507002040,"41007020853008008S001001A","41007020853008008S",-123.913642883,46.017326355,1,1
410079507001001,"41007020864002001S001001A","41007020864002001S",-123.903427124,46.0174980164,1,1
410079507001001,"41007020864002002S001001A","41007020864002002S",-123.903427124,46.0174980164,1,1
410079507001013,"41007020879001001S001001A","41007020879001001S",-123.905250549,46.0172767639,1,1
410079507001013,"41007020880001001S006001A","41007020880001001S",-123.91091156,46.0168914795,6,1
410079507001013,"41007020880001001S006002A","41007020880001001S",-123.91091156,46.0168914795,6,1
410079507001013,"41007020880001001S006003A","41007020880001001S",-123.91091156,46.0168914795,6,1
410079507001013,"41007020880001001S006004A","41007020880001001S",-123.91091156,46.0168914795,6,1
410079507001013,"41007020880001001S006005A","41007020880001001S",-123.91091156,46.0168914795,6,1
410079507001013,"41007020880001001S006006A","41007020880001001S",-123.91091156,46.0168914795,6,1
410079507001006,"41007020933038001S001001A","41007020933038001S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038002S001001A","41007020933038002S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038003S001001A","41007020933038003S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038004S001001A","41007020933038004S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038005S001001A","41007020933038005S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038006S002001A","41007020933038006S",-123.908996582,46.0143356323,2,1
410079507001006,"41007020933038006S002002A","41007020933038006S",-123.908996582,46.0143356323,2,1
410079507001006,"41007020933038007S002001A","41007020933038007S",-123.908996582,46.0143356323,2,1
410079507001006,"41007020933038007S002002A","41007020933038007S",-123.908996582,46.0143356323,2,1
410079507001006,"41007020933038008S001001A","41007020933038008S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038009S001001A","41007020933038009S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038010S001001A","41007020933038010S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038011S001001A","41007020933038011S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038012S001001A","41007020933038012S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038013S001001A","41007020933038013S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038014S001001A","41007020933038014S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038015S001001A","41007020933038015S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038016S001001A","41007020933038016S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038017S001001A","41007020933038017S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038018S001001A","41007020933038018S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038019S001001A","41007020933038019S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038020S001001A","41007020933038020S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038021S001001A","41007020933038021S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038022S001001A","41007020933038022S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038023S001001A","41007020933038023S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038024S001001A","41007020933038024S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038025S001001A","41007020933038025S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038026S001001A","41007020933038026S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038027S001001A","41007020933038027S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038028S001001A","41007020933038028S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038029S001001A","41007020933038029S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038030S001001A","41007020933038030S",-123.908996582,46.0143356323,1,1
410079507001006,"41007020933038031S002001A","41007020933038031S",-123.908996582,46.0143356323,2,1
